date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:52:48	15733/15733	---M--	200	added ('OK')	image/png	etag:%229cc692e096f6babc121c2e31b5859570-ssl%22	https://mrd0x.com/static/b3c219e9874e9baca7a0eb6da39d693c/d2c2a/real-fake.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/b3c219e9874e9baca7a0eb6da39d693c/d2c2a/real-fake.png	(from https://mrd0x.com/browser-in-the-browser-phishing-attack/)
00:52:48	17281/17281	---M--	200	added ('OK')	image/png	etag:%2202f33ac6138844c48d99d0eefc658f76-ssl%22	https://mrd0x.com/static/b3c219e9874e9baca7a0eb6da39d693c/8c557/real-fake.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/b3c219e9874e9baca7a0eb6da39d693c/8c557/real-fake.png	(from https://mrd0x.com/browser-in-the-browser-phishing-attack/)
00:52:49	2188290/2188290	---M--	200	added ('OK')	image/gif	etag:%221d3f5e3c032ccba288e38f0a035686c7-ssl%22	https://mrd0x.com/c2b899d2175d71fb45e3f86a8ba80644/demo.gif	C:/My%20Web%20Sites/attck/mrd0x.com/c2b899d2175d71fb45e3f86a8ba80644/demo.gif	(from https://mrd0x.com/browser-in-the-browser-phishing-attack/)
00:52:49	26443/26443	---MCZ	200	added ('OK')	application/json	etag:%225cd2b5e6da22ed059df3b33e2fdaee58-ssl-df%22	https://mrd0x.com/page-data/bypass-2fa-using-novnc/page-data.json	C:/My%20Web%20Sites/attck/mrd0x.com/page-data/bypass-2fa-using-novnc/page-data.json	(from https://mrd0x.com/bypass-2fa-using-novnc/)
00:52:49	5181/5181	---M--	200	added ('OK')	image/png	etag:%22b53770925ed8ebb95c0bc9f9fb62185c-ssl%22	https://mrd0x.com/static/e6165f96a57efe61935936223a4ce0bb/fcb94/gmail.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/e6165f96a57efe61935936223a4ce0bb/fcb94/gmail.png	(from https://mrd0x.com/bypass-2fa-using-novnc/)
00:52:49	10132/10132	---M--	200	added ('OK')	image/png	etag:%221835260bcc2842533f7c2cd4b2a6d4fd-ssl%22	https://mrd0x.com/static/9d6e8ee930cfe8cd1c125afcf1aff0ea/d43b4/final.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/9d6e8ee930cfe8cd1c125afcf1aff0ea/d43b4/final.png	(from https://mrd0x.com/bypass-2fa-using-novnc/)
00:52:50	6337/6337	---M--	200	added ('OK')	image/png	etag:%2287ea483687cf36fe3f3b8e7658974100-ssl%22	https://mrd0x.com/static/9d6e8ee930cfe8cd1c125afcf1aff0ea/8c557/final.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/9d6e8ee930cfe8cd1c125afcf1aff0ea/8c557/final.png	(from https://mrd0x.com/bypass-2fa-using-novnc/)
00:52:50	5901/5901	---M--	200	added ('OK')	image/png	etag:%229a72ca35ddc5a84ce31fe665cc9309c6-ssl%22	https://mrd0x.com/static/0235cfe23df33b96ed78e8969852b5a8/73fd0/vnc1.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/0235cfe23df33b96ed78e8969852b5a8/73fd0/vnc1.png	(from https://mrd0x.com/bypass-2fa-using-novnc/)
00:52:50	6925/6925	---M--	200	added ('OK')	image/png	etag:%22d4969b0565fa7eb2ff034d00b765536d-ssl%22	https://mrd0x.com/static/0235cfe23df33b96ed78e8969852b5a8/8c557/vnc1.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/0235cfe23df33b96ed78e8969852b5a8/8c557/vnc1.png	(from https://mrd0x.com/bypass-2fa-using-novnc/)
00:52:51	9038/9038	---M--	200	added ('OK')	image/png	etag:%22db8fc5125195b8c4bc6adc8d23d8694d-ssl%22	https://mrd0x.com/static/49ee07ecd0b7d2da3159b9211228ba6e/d43b4/vnc3.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/49ee07ecd0b7d2da3159b9211228ba6e/d43b4/vnc3.png	(from https://mrd0x.com/bypass-2fa-using-novnc/)
00:52:51	7118/7118	---M--	200	added ('OK')	image/png	etag:%228b27920ac651c2db9c3e5bb534d80f45-ssl%22	https://mrd0x.com/static/49ee07ecd0b7d2da3159b9211228ba6e/8c557/vnc3.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/49ee07ecd0b7d2da3159b9211228ba6e/8c557/vnc3.png	(from https://mrd0x.com/bypass-2fa-using-novnc/)
00:52:51	8460/8460	---M--	200	added ('OK')	image/png	etag:%222ccb38a365b1a1d012f56fe45182d586-ssl%22	https://mrd0x.com/static/18581ad5a1ae6760c6116bc12b31454c/4e6ec/vnc-launch.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/18581ad5a1ae6760c6116bc12b31454c/4e6ec/vnc-launch.png	(from https://mrd0x.com/bypass-2fa-using-novnc/)
00:52:51	25335/25335	---M--	200	added ('OK')	image/png	etag:%22789eb3c62ae3ca911c57008dd23f06b7-ssl%22	https://mrd0x.com/static/18581ad5a1ae6760c6116bc12b31454c/8c557/vnc-launch.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/18581ad5a1ae6760c6116bc12b31454c/8c557/vnc-launch.png	(from https://mrd0x.com/bypass-2fa-using-novnc/)
00:52:52	2759/2759	---M--	200	added ('OK')	image/png	etag:%229d84d808f945b53af0f906ca9274b5bd-ssl%22	https://mrd0x.com/static/11793751cbf645f15c72ef6bc48614f4/52211/vnc-port.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/11793751cbf645f15c72ef6bc48614f4/52211/vnc-port.png	(from https://mrd0x.com/bypass-2fa-using-novnc/)
00:52:52	6751/6751	---M--	200	added ('OK')	image/png	etag:%22c3ad7c8e8de0f8c18f434a682208c1f1-ssl%22	https://mrd0x.com/static/2a85da6db668cb3ea56d47d2421b2a42/36c33/novnc1.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/2a85da6db668cb3ea56d47d2421b2a42/36c33/novnc1.png	(from https://mrd0x.com/bypass-2fa-using-novnc/)
00:52:52	18870/18870	---M--	200	added ('OK')	image/png	etag:%220ef21473b723195a977ebbaf821772b8-ssl%22	https://mrd0x.com/static/2a85da6db668cb3ea56d47d2421b2a42/8c557/novnc1.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/2a85da6db668cb3ea56d47d2421b2a42/8c557/novnc1.png	(from https://mrd0x.com/bypass-2fa-using-novnc/)
00:52:52	7576/7576	---M--	200	added ('OK')	image/png	etag:%22d4825287a777233cdac97d76db4750f6-ssl%22	https://mrd0x.com/static/543a2f4138c0ad4a0135de82d962247c/ecf19/novnc2.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/543a2f4138c0ad4a0135de82d962247c/ecf19/novnc2.png	(from https://mrd0x.com/bypass-2fa-using-novnc/)
00:52:53	19981/19981	---M--	200	added ('OK')	image/png	etag:%22723ff4865cf57e46dd978482de452eef-ssl%22	https://mrd0x.com/static/543a2f4138c0ad4a0135de82d962247c/8c557/novnc2.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/543a2f4138c0ad4a0135de82d962247c/8c557/novnc2.png	(from https://mrd0x.com/bypass-2fa-using-novnc/)
00:52:53	778534/778534	---M--	200	added ('OK')	image/gif	etag:%2254acd6d03866db2b043445e39a0a6e67-ssl%22	https://mrd0x.com/e6237d12639f54e82d11eefefae8c52e/demo.gif	C:/My%20Web%20Sites/attck/mrd0x.com/e6237d12639f54e82d11eefefae8c52e/demo.gif	(from https://mrd0x.com/bypass-2fa-using-novnc/)
00:52:54	38247/38247	---MCZ	200	added ('OK')	application/json	etag:%22eaff3f9cc0d613f16c50557528c99c75-ssl-df%22	https://mrd0x.com/page-data/twitter-recap-part-1/page-data.json	C:/My%20Web%20Sites/attck/mrd0x.com/page-data/twitter-recap-part-1/page-data.json	(from https://mrd0x.com/twitter-recap-part-1/)
